"FEC_ANO","FEC_MES","COD_MUN","MALARIA","CASES","DATE2","URB_ELV_MEAN","MUN_ELV_MAX","MUN_ELV_MEAN","MUN_T_MEAN_MAX","MUN_T_MEAN_MIN","MUN_T_MEAN_MEAN","PREC_CUM_MONTH"
2008,1,"27001","MALARIA FALCIPARUM",23,2008-01-01,45,3525,427.049776194325,22.3209523809524,12.5730508474577,17.0216295204691,428.334131231987
2008,1,"27001","MALARIA VIVAX",14,2008-01-01,45,3525,427.049776194325,22.3209523809524,12.5730508474577,17.0216295204691,428.334131231987
2008,1,"27006","MALARIA VIVAX",1,2008-01-01,64,1687,223.442229674248,26.9970274636511,22.2128811965812,24.6952419605804,63.4738706269807
2008,1,"27025","MALARIA FALCIPARUM",49,2008-01-01,381,1187,224.458141931178,27.5784210526316,20.2166239542519,23.8690628992554,454.961602366672
2008,1,"27025","MALARIA VIVAX",60,2008-01-01,381,1187,224.458141931178,27.5784210526316,20.2166239542519,23.8690628992554,454.961602366672
2008,1,"27073","MALARIA VIVAX",5,2008-01-01,566,3820,860.754249457835,18.829751552795,5.72080564949276,12.9297718351721,311.255136379738
2008,1,"27075","MALARIA VIVAX",1,2008-01-01,160,1124,232.765017055486,26.5614439036566,19.0481717435108,23.9168567694994,285.083858955848
2008,1,"27077","MALARIA FALCIPARUM",29,2008-01-01,109,1187,88.748142537113,25.2729239571629,21.3411956142853,23.4328106759189,499.723399322505
2008,1,"27077","MALARIA VIVAX",39,2008-01-01,109,1187,88.748142537113,25.2729239571629,21.3411956142853,23.4328106759189,499.723399322505
2008,1,"27099","MALARIA FALCIPARUM",14,2008-01-01,109,1124,178.93608544208,25.8114265405109,20.132489989079,23.5516337197958,387.09521501811
2008,1,"27205","MALARIA FALCIPARUM",9,2008-01-01,219,2159,332.167238378927,23.6226804123712,15.3151134020619,20.8053209093398,510.168733659583
2008,1,"27205","MALARIA VIVAX",2,2008-01-01,219,2159,332.167238378927,23.6226804123712,15.3151134020619,20.8053209093398,510.168733659583
2008,1,"27361","MALARIA FALCIPARUM",36,2008-01-01,100,1764,107.84899462037,24.6513622438357,20.2700104293413,23.1258082747483,523.43575928382
2008,1,"27361","MALARIA VIVAX",28,2008-01-01,100,1764,107.84899462037,24.6513622438357,20.2700104293413,23.1258082747483,523.43575928382
2008,1,"27372","MALARIA VIVAX",4,2008-01-01,112,1117,194.6103979262,27.3872292882084,22.2705792950729,25.1486821486356,49.9283781271303
2008,1,"27430","MALARIA FALCIPARUM",10,2008-01-01,23,963,107.469158550186,25.5213339290273,20.6166666666667,22.8766772637145,539.498835972753
2008,1,"27430","MALARIA VIVAX",4,2008-01-01,23,963,107.469158550186,25.5213339290273,20.6166666666667,22.8766772637145,539.498835972753
2008,1,"27450","MALARIA FALCIPARUM",11,2008-01-01,68,285,57.5486514577782,24.9209929532351,21.8790219815228,23.6466188939199,533.449844065938
2008,1,"27450","MALARIA VIVAX",11,2008-01-01,68,285,57.5486514577782,24.9209929532351,21.8790219815228,23.6466188939199,533.449844065938
2008,1,"27491","MALARIA FALCIPARUM",1,2008-01-01,122,2824,322.336027102396,23.5191284701483,13.9934030029431,19.407235748165,483.55131824697
2008,1,"27491","MALARIA VIVAX",1,2008-01-01,122,2824,322.336027102396,23.5191284701483,13.9934030029431,19.407235748165,483.55131824697
2008,1,"27580","MALARIA FALCIPARUM",1,2008-01-01,551,1933,303.092189427952,24.2049435382685,22.15,23.2502321377445,533.291206313416
